Client Complaint,Ticket Body,Type of Product,Priority,Type of Complaint,Support Level
GSave Inaccessible Account,"Dear GCash Support, I am facing urgent issues accessing my GSave account, which has been my trusted repository for emergency funds for years. The login failure started without warning two days ago, and none of the standard fixes like app updates or cache clearing have resolved it. I've found no maintenance alerts that could explain the situation. This lockout is distressing and I need immediate access to my funds. Please prioritize this concern and advise on any necessary steps from my side to regain access.",GSave,Urgent,Account Access,1
GInvest Portfolio Sync Issue,"Dear GCash Support, I have recently noticed discrepancies in my GInvest portfolio. The funds' values displayed are not reflecting the actual market performance, and my portfolio seems not to update promptly. This has been ongoing for three days, impacting my investment decisions. Please address this as I rely on the real-time data for trading.",GInvest,Urgent,Account Issue,1
GInsure Claim Processing Delay,"Dear GCash Support, I submitted a claim under my GInsure policy a week ago after an unfortunate incident. However, I have not received any updates on the claim status. This is urgent as the insurance is critical for my financial security during this difficult time. Your prompt response would be greatly appreciated.",GInsure,Urgent,Claim Issue,3
GCredit Reconciliation Error,"Dear GCash Support, My GCredit account is showing a balance even after I have cleared my dues. The payment was made four days ago, and the transaction is not reflecting in my credit ledger. This error is affecting my credit limit. Please rectify this as soon as possible.",GCredit,Not Urgent,Billing Error,2
GPadala Transfer Issue,"Dear GCash Support, I've attempted to send money to my family via GPadala service two days ago, but they have not received it yet. The transaction shows completed on my end. This delay is causing financial strain on my family. I request an immediate investigation into this matter.",GPadala,Urgent,Transaction Failure,2
GLife App Integration Fault,"Dear GCash Support, GLife is not integrating with third-party services properly. Whenever I try to access the partner apps within GLife, the screen freezes or crashes. This issue has persisted for several days, hindering my access to essential services.",GLife,Normal,Technical Issue,1
GForest Carbon Footprint Miscalculation,"Dear GCash Support, My GForest account is not correctly tracking my carbon footprint, which seems to undermine my environmental efforts. The activity tracker has not been syncing for the past week, and it's crucial for me to monitor and ensure my contributions to reforestation are accurate.",GForest,Normal,Service Issue,4
GLoan Application Glitch,"Dear GCash Support, I am experiencing a recurring glitch when trying to apply for GLoan. The app crashes every time I reach the submission stage. This issue started three days ago and is preventing me from accessing the financial assistance I urgently need.",GLoan,Urgent,Application Error,1
GPay QR Code Reader Malfunction,"Dear GCash Support, The QR code reader within the GPay feature has been malfunctioning. It either does not recognize codes or takes too long to process, which is embarrassing when trying to make quick transactions at stores. Please address this issue promptly.",GPay,Urgent,Technical Issue,2
GRemit Transaction Delay,"Dear GCash Support, There's a significant delay in the GRemit service for international remittances. My family abroad sent money through GRemit, and it's been 48 hours without the funds reflecting in my account. This delay is quite distressing and inconvenient.",GRemit,Normal,Transaction Failure,3
GBills Payment Not Processing,"Dear GCash Support, Payments made through GBills for my utilities are not processing. Transactions either fail after a long wait or don’t go through at all. This has been happening for the last few days, and I am at risk of service interruption due to unpaid bills.",GBills,Urgent,Payment Issue,2
